prompt,turn_num,num_statements,visibility
prompt4,54,3,explicit
prompt4,55,3,explicit
prompt4,56,8,explicit
prompt4,57,3,explicit
prompt4,58,10,explicit
prompt4,59,5,explicit
prompt4,60,8,explicit
prompt4,61,7,explicit
prompt4,62,6,explicit
prompt4,63,2,explicit
prompt4,64,5,explicit
prompt4,65,5,explicit
prompt4,66,5,explicit
prompt4,67,6,explicit
prompt4,68,5,explicit
prompt4,1,5,explicit
prompt4,2,3,explicit
prompt4,3,5,explicit
prompt4,4,3,explicit
prompt4,5,8,explicit
prompt4,6,3,explicit
prompt4,7,4,explicit
prompt4,8,2,explicit
prompt4,9,5,explicit
prompt4,10,5,explicit
prompt4,11,4,explicit
prompt4,12,3,explicit
prompt4,13,5,explicit
prompt4,14,3,explicit
prompt4,15,4,explicit
prompt4,16,3,explicit
prompt4,17,6,explicit
prompt4,18,3,explicit
prompt4,19,4,explicit
prompt4,20,4,explicit
prompt4,21,3,explicit
prompt4,1,5,explicit
prompt4,2,3,explicit
prompt4,3,8,explicit
prompt4,4,8,explicit
prompt4,5,5,explicit
prompt4,6,10,explicit
prompt4,7,4,explicit
prompt4,8,5,explicit
prompt4,1,4,explicit
prompt4,2,4,explicit
prompt4,3,5,explicit
prompt4,4,5,explicit
prompt4,5,10,explicit
prompt4,1,7,explicit
prompt4,2,4,explicit
prompt4,3,5,explicit
prompt4,4,5,explicit
prompt4,5,5,explicit
prompt4,6,4,explicit
prompt4,7,0,explicit
prompt4,8,4,explicit
prompt4,9,5,explicit
prompt4,10,0,explicit
prompt4,11,10,explicit
prompt4,12,0,explicit
prompt4,13,5,explicit
prompt4,14,5,explicit
prompt4,15,5,explicit
prompt4,16,5,explicit
prompt4,17,4,explicit
prompt4,18,6,explicit
prompt4,19,3,explicit
prompt4,20,5,explicit
prompt4,21,3,explicit
prompt4,22,2,explicit
prompt4,23,5,explicit
prompt4,24,3,explicit
prompt4,25,4,explicit
prompt4,26,3,explicit
prompt4,27,5,explicit
prompt4,28,5,explicit
prompt4,29,5,explicit
prompt4,30,5,explicit
prompt4,31,0,explicit
prompt4,32,5,explicit
prompt4,33,3,explicit
prompt4,34,7,explicit
prompt4,35,3,explicit
prompt4,36,4,explicit
prompt4,37,4,explicit
prompt4,38,4,explicit
prompt4,39,0,explicit
prompt4,40,5,explicit
prompt4,41,5,explicit
prompt4,42,3,explicit
prompt4,1,4,explicit
prompt4,2,5,explicit
prompt4,3,10,explicit
prompt4,4,10,explicit
prompt4,5,4,explicit
prompt4,6,5,explicit
prompt4,7,4,explicit
prompt4,8,3,explicit
prompt4,9,6,explicit
prompt4,10,4,explicit
prompt4,11,4,explicit
prompt4,12,2,explicit
prompt4,13,2,explicit
prompt4,14,5,explicit
prompt4,15,7,explicit
prompt4,16,6,explicit
prompt4,17,10,explicit
prompt4,1,2,explicit
prompt4,2,5,explicit
prompt4,3,8,explicit
prompt4,4,10,explicit
prompt4,5,10,explicit
prompt4,6,10,explicit
prompt4,1,3,explicit
prompt4,2,5,explicit
prompt4,3,4,explicit
prompt4,4,3,explicit
prompt4,5,5,explicit
prompt4,6,4,explicit
prompt4,7,8,explicit
prompt4,8,3,explicit
prompt4,9,0,explicit
prompt4,10,7,explicit
prompt4,11,4,explicit
prompt4,12,8,explicit
prompt4,13,4,explicit
prompt4,14,8,explicit
prompt4,15,4,explicit
prompt4,16,5,explicit
prompt4,17,4,explicit
prompt5,1,4,explicit
prompt5,2,10,explicit
prompt5,3,3,explicit
prompt5,1,4,explicit
prompt5,2,7,explicit
prompt5,3,8,explicit
prompt5,1,5,explicit
