analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses
sparse_explicit,5,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,4,-0.020833333333333343,,,True,4,0,2,2
dense_explicit,5,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,41,-0.00508130081300813,,,True,7,11,15,15
complete_case,5,raw_history_different_episode_assumptions_b256,raw_history_b256,raw_history_different_episode_assumptions,raw_history,256,accuracy,41,-0.00508130081300813,,,True,8,11,15,15
full,1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,166,-0.009663654618473896,,,True,19,40,48,78
assumption_eligible,1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,166,-0.009663654618473896,,,True,19,40,48,78
sparse_explicit,1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,19,0.004385964912280709,,,True,7,7,6,6
dense_explicit,1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,147,-0.011479591836734696,,,True,19,33,42,72
complete_case,1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,166,-0.009663654618473896,,,True,19,40,48,78
full,3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,75,-0.00861111111111111,,,True,12,8,42,25
assumption_eligible,3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,75,-0.00861111111111111,,,True,12,8,42,25
sparse_explicit,3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,6,-1.850371707708594e-17,,,True,5,1,4,1
dense_explicit,3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,69,-0.009359903381642509,,,True,12,7,38,24
complete_case,3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,75,-0.00861111111111111,,,True,12,8,42,25
full,5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,41,-0.004065040650406507,,,True,8,9,21,11
assumption_eligible,5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,41,-0.004065040650406507,,,True,8,9,21,11
sparse_explicit,5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,4,-0.010416666666666657,,,True,4,0,3,1
dense_explicit,5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,37,-0.003378378378378383,,,True,7,9,18,10
complete_case,5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_b256,raw_history_same_episode_random_turn_assumptions,raw_history,256,accuracy,41,-0.004065040650406507,,,True,8,9,21,11
